InitializeWeights:  w_a = 0.995 w_b = 0.99999

 iterations              T          dS/S            meanE              sdE         (e)meanE           (e)sdE   acc    alpha
    1690000    1791.164380  5.912982e-06     33399.685587      1750.197372     34669.192428      3403.676805  0.41  0.22582
    1700000    1779.475176  6.663669e-06     33697.818941      1637.130957     34182.756030      3369.841294  0.48  0.22471
    1710000    1767.877867  6.673812e-06     34960.943832      1373.281967     35704.693244      3345.257369  0.41  0.22582
    1720000    1756.385032  6.694212e-06     29795.353862      4798.143401     34054.500859      3318.955668  0.47  0.22559
    1730000    1744.769708  6.663744e-06     35519.209713      2549.972756     34512.117726      3292.561271  0.48  0.22471
    1740000    1733.192166  6.403615e-06     32728.119168      2378.480031     34522.780798      3269.597985  0.37  0.22109
    1750000    1721.722288  6.455796e-06     37988.214714      5044.720009     34763.627671      3248.215483  0.47  0.22559
    1760000    1710.333599  6.357934e-06     38520.402740      3232.669083     37119.485288      3221.681201  0.43  0.22671
    1770000    1698.978799  6.702722e-06     38696.659036      3834.171506     36534.178619      3212.939004  0.44  0.22680
    1780000    1688.207337  6.478275e-06     58724.911282      9501.114114     50215.124616      3229.606585  0.49  0.22358
    1790000    1677.536193  6.301899e-06     47270.428882      6029.349556     52980.214100      3225.501795  0.44  0.22680
    1800000    1667.077636  6.225063e-06     53397.503546      4616.233481     53278.946523      3216.747953  0.36  0.21930
    1810000    1656.886727  5.885591e-06     50321.075542      3748.964505     51842.407787      3212.199907  0.47  0.22559
    1820000    1646.832897  6.174424e-06     49019.548221      4767.599920     52341.886350      3201.152828  0.37  0.22109
